repo,path,size,branch,raw_url
BERNOVEM,BN12NOVEMBER2026,889426,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/BN12NOVEMBER2026
BERNOVEM,BN13NOVEMBER2026,889426,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/BN13NOVEMBER2026
BERNOVEM,BN14NOVEMBER2026,889426,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/BN14NOVEMBER2026
BERNOVEM,BN15NOVEMBER2026,889426,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/BN15NOVEMBER2026
BERNOVEM,BN16NOVEMBER2026,889426,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/BN16NOVEMBER2026
BERNOVEM,BN17NOVEMBER2026,889426,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/BN17NOVEMBER2026
BERNOVEM,BN18NOVEMBER2026,889426,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/BN18NOVEMBER2026
BERNOVEM,BN19NOVEMBER2026,889426,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/BN19NOVEMBER2026
BERNOVEM,BN20NOVEMBER2026,889426,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/BN20NOVEMBER2026
BERNOVEM,BN21NOVEMBER2026,889426,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/BN21NOVEMBER2026
BERNOVEM,BN22NOVEMBER2026,889426,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/BN22NOVEMBER2026
BERNOVEM,BN23NOVEMBER2026,889426,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/BN23NOVEMBER2026
BERNOVEM,BN24NOVEMBER2026,889426,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/BN24NOVEMBER2026
BERNOVEM,BN25NOVEMBER2026,889426,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/BN25NOVEMBER2026
BERNOVEM,BN26NOVEMBER2026,889426,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/BN26NOVEMBER2026
BERNOVEM,BN27NOVEMBER2026,889426,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/BN27NOVEMBER2026
BERNOVEM,BN28NOVEMBER2026,889426,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/BN28NOVEMBER2026
BERNOVEM,BN29NOVEMBER2026,889426,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/BN29NOVEMBER2026
BERNOVEM,BN30NOVEMBER2026,889426,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/BN30NOVEMBER2026
BERNOVEM,update_github_file.py,15175,main,https://raw.githubusercontent.com/DawSathaporn/BERNOVEM/main/update_github_file.py
BEROKTO,.github/workflows/main.yml,851,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/.github/workflows/main.yml
BEROKTO,BR01OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR01OKTOBER2026
BEROKTO,BR02OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR02OKTOBER2026
BEROKTO,BR03OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR03OKTOBER2026
BEROKTO,BR04OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR04OKTOBER2026
BEROKTO,BR05OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR05OKTOBER2026
BEROKTO,BR06OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR06OKTOBER2026
BEROKTO,BR07OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR07OKTOBER2026
BEROKTO,BR08OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR08OKTOBER2026
BEROKTO,BR09OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR09OKTOBER2026
BEROKTO,BR10OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR10OKTOBER2026
BEROKTO,BR11OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR11OKTOBER2026
BEROKTO,BR12OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR12OKTOBER2026
BEROKTO,BR13OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR13OKTOBER2026
BEROKTO,BR14OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR14OKTOBER2026
BEROKTO,BR15OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR15OKTOBER2026
BEROKTO,BR16OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR16OKTOBER2026
BEROKTO,BR17OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR17OKTOBER2026
BEROKTO,BR18OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR18OKTOBER2026
BEROKTO,BR19OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR19OKTOBER2026
BEROKTO,BR20OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR20OKTOBER2026
BEROKTO,BR21OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR21OKTOBER2026
BEROKTO,BR22OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR22OKTOBER2026
BEROKTO,BR23OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR23OKTOBER2026
BEROKTO,BR24OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR24OKTOBER2026
BEROKTO,BR25OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR25OKTOBER2026
BEROKTO,BR26OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR26OKTOBER2026
BEROKTO,BR27OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR27OKTOBER2026
BEROKTO,BR28OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR28OKTOBER2026
BEROKTO,BR29OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR29OKTOBER2026
BEROKTO,BR30OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR30OKTOBER2026
BEROKTO,BR31OKTOBER2026,889425,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/BR31OKTOBER2026
BEROKTO,update_github_file.py,15172,main,https://raw.githubusercontent.com/DawSathaporn/BEROKTO/main/update_github_file.py
UGR,.github/workflows/raw-urls.yml,2174,main,https://raw.githubusercontent.com/DawSathaporn/UGR/main/.github/workflows/raw-urls.yml
UGR,data/DawSathaporn_all_raw.csv,11875,main,https://raw.githubusercontent.com/DawSathaporn/UGR/main/data/DawSathaporn_all_raw.csv
UGR,data/DawSathaporn_all_raw.xlsx,7706,main,https://raw.githubusercontent.com/DawSathaporn/UGR/main/data/DawSathaporn_all_raw.xlsx
UGR,data/uppermoon77_all_raw.csv,41907,main,https://raw.githubusercontent.com/DawSathaporn/UGR/main/data/uppermoon77_all_raw.csv
UGR,data/uppermoon77_all_raw.xlsx,15208,main,https://raw.githubusercontent.com/DawSathaporn/UGR/main/data/uppermoon77_all_raw.xlsx
UGR,generate_all_repos_raw_urls.py,6543,main,https://raw.githubusercontent.com/DawSathaporn/UGR/main/generate_all_repos_raw_urls.py
